price,avg_rating,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model
7000.0,6.3,5000,4,64.0,6.52,2442.0,44984231,10529758
15399.0,8.2,5000,8,128.0,6.7,3781.0,44984231,91167041
25499.0,0.0,4200,8,256.0,6.58,3965.0,44984231,41162566
27860.0,0.0,4360,8,256.0,6.6,6579.0,44984231,25143555
12599.0,8.7,5000,6,128.0,6.67,4089.0,86932135,8234723
17599.0,8.3,4020,6,128.0,6.5,5629.0,86932135,4754498
18999.0,8.5,4020,8,128.0,6.5,5629.0,86932135,12600152
21999.0,8.8,4400,8,128.0,6.55,6100.0,86932135,75393517
22500.0,8.9,4800,8,128.0,6.7,5480.0,86932135,3427047
24599.0,0.0,4610,8,128.0,6.67,7289.0,86932135,31764343
27899.0,0.0,4610,12,256.0,6.67,7289.0,86932135,21393662
18999.0,8.6,4200,8,128.0,6.5,9112.0,86932135,8204626
21599.0,8.7,4500,8,128.0,6.67,9112.0,86932135,38313536
24599.0,8.9,4800,8,128.0,6.7,9112.0,86932135,5417015
16899.0,8.9,5000,12,256.0,6.7,6686.0,86932135,13142747
14599.0,8.7,5000,6,128.0,6.7,6696.0,86932135,42303260
5499.0,6.5,5000,2,64.0,6.5,2555.0,86932135,1978880
4300.0,7.0,5000,4,64.0,6.5,1896.0,86932135,66819365
4899.0,7.1,5000,4,64.0,6.5,2555.0,86932135,56747759
3899.0,6.5,5000,3,32.0,6.5,1896.0,86932135,98975101
4399.0,6.7,5000,4,64.0,6.5,1896.0,86932135,5589240
3899.0,7.1,5000,4,64.0,6.5,2644.0,86932135,170979
3299.0,8.4,4020,8,128.0,6.28,4441.0,86932135,77442818
7999.0,8.5,5000,6,128.0,6.8,6134.0,86932135,90223957
8999.0,8.3,5000,8,128.0,6.67,6134.0,86932135,82094367
11999.0,0.0,4450,8,128.0,6.67,6717.0,86932135,62149518
3799.0,8.2,5000,6,128.0,6.67,1065.0,86932135,12903288
4099.0,7.5,5000,4,128.0,6.5,2752.0,86932135,44039997
3599.0,7.5,5000,4,64.0,6.53,1896.0,86932135,3634916
3799.0,7.7,5000,4,128.0,6.5,1896.0,86932135,43392410
3599.0,7.5,5000,4,64.0,6.47,2936.0,86932135,61776936
4299.0,7.8,5000,6,128.0,6.47,2936.0,86932135,99270027
5500.0,7.5,5000,4,64.0,6.55,3516.0,86932135,85707744
6299.0,7.7,6000,4,64.0,6.78,3753.0,86932135,11863670
6899.0,7.8,5000,4,64.0,6.47,3516.0,86932135,43144383
7299.0,7.7,5000,4,64.0,6.8,3715.0,86932135,4070363
6899.0,7.5,5000,4,64.0,6.6,3516.0,86932135,32981464
7399.0,7.9,5000,6,128.0,6.6,3516.0,86932135,73623666
7599.0,7.6,5000,4,64.0,6.6,3516.0,86932135,71967432
7899.0,7.9,5000,4,128.0,6.5,3516.0,86932135,17066927
8918.0,8.4,6000,6,128.0,6.78,3753.0,86932135,92858696
8999.0,8.4,5000,8,128.0,6.55,3753.0,86932135,10144499
8599.0,8.1,5000,6,128.0,6.55,3753.0,86932135,69061933
9200.0,8.0,5000,6,128.0,6.4,4182.0,86932135,98699841
9799.0,8.1,5000,6,128.0,6.5,4182.0,86932135,85727478
9999.0,8.3,5000,6,128.0,6.55,4255.0,86932135,32551515
311.988,8.5,5000,8,256.0,6.5,4838.0,86932135,82415971
10599.0,8.6,5000,8,128.0,6.6,4182.0,86932135,78753073
